 X,    Y,    Z,    H,	slope,Q, AREA,	L, curve,power, downL
-480,    0,   82.1523,   82.1523,   0.137305,   17309.9,   256,   8,   -3.45457e-06,   2376.74,   0
-480,    8,   82.6958,   82.6958,   0.137305,   4271.48,   64,   8,   -3.45457e-06,   586.497,   0
-480,    16,   82.9104,   82.9104,   0.15248,   4202.42,   64,   8,   -1.1579e-06,   640.784,   0
-480,    24,   83.1134,   83.1134,   0.160299,   4135.86,   64,   8,   5.14227e-06,   662.976,   0
-480,    32,   83.2771,   83.2771,   0.165403,   4071.94,   64,   8,   1.11281e-05,   673.513,   0
-480,    40,   83.3982,   83.3982,   0.168308,   4010.84,   64,   8,   1.447e-05,   675.056,   0
-480,    48,   83.4796,   83.4796,   0.169396,   3952.8,   64,   8,   1.14019e-05,   669.588,   0
-480,    56,   83.5133,   83.5133,   0.168795,   3898.2,   64,   8,   -3.75872e-05,   657.995,   0
-480,    64,   83.5088,   83.5088,   0.166858,   3847.52,   64,   8,   -0.000119803,   641.987,   0
-480,    72,   83.4787,   83.4787,   0.164117,   3801.24,   64,   8,   -0.000219732,   623.849,   0
-480,    80,   83.4314,   83.4314,   0.160867,   3759.59,   64,   8,   -0.000333644,   604.794,   0
-480,    88,   83.3666,   83.3666,   0.157052,   3722.14,   64,   8,   -0.000470552,   584.569,   0
-480,    96,   83.2819,   83.2819,   0.152504,   3687.62,   64,   8,   -0.000627256,   562.378,   0
-480,    104,   83.1805,   83.1805,   0.147241,   3654.12,   64,   8,   -0.000781907,   538.038,   0
-480,    112,   83.0726,   83.0726,   0.141572,   3620.03,   64,   8,   -0.000914988,   512.495,   0
-480,    120,   82.9739,   82.9739,   0.136024,   3584.5,   64,   8,   -0.00102292,   487.577,   0
-480,    128,   82.8989,   82.8989,   0.1311,   3547.43,   64,   8,   -0.00112163,   465.068,   0
-480,    136,   82.8546,   82.8546,   0.127033,   3509.02,   64,   8,   -0.00122981,   445.759,   0
-480,    144,   82.8403,   82.8403,   0.123751,   3469.41,   64,   8,   -0.00134832,   429.342,   0
-480,    152,   82.8523,   82.8523,   0.121109,   3428.45,   64,   8,   -0.00145526,   415.217,   0
-480,    160,   82.8898,   82.8898,   0.11915,   3385.72,   64,   8,   -0.00151702,   403.409,   0
-480,    168,   82.9571,   82.9571,   0.118151,   3340.74,   64,   8,   -0.0015026,   394.713,   0
-480,    176,   83.0592,   83.0592,   0.118398,   3293.4,   64,   8,   -0.00139283,   389.932,   0
-480,    184,   83.1959,   83.1959,   0.119836,   3244.54,   64,   8,   -0.00118621,   388.814,   0
